Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
1815,0.267,0.0785,0.667,0.467,,,,,,,0.533,0.400,,,,,,
1820,0.267,0.450,0.702,0.898,,,,,,,0.710,0.945,0.924,0.702,0.763,0.476,,
1825,0.267,0.600,0.902,1.05,,,,,,,0.901,1.16,1.08,0.964,1.02,0.840,,
1830,0.333,0.600,1.40,1.33,,,,,,,1.33,1.47,1.33,1.40,1.40,1.33,,
1835,0.333,0.200,1.13,1.13,,,,,,,1.13,1.13,1.20,1.13,1.13,1.20,,
1840,0.333,0.0667,1.07,1.13,,,,,,,1,1,1.13,1,1.13,1.000,,
1845,0.333,0.0667,0.867,0.867,,,,,,,0.867,0.867,0.933,0.867,0.933,0.867,,
1850,0.267,0.0667,1.07,0.867,,,,,,,0.800,0.867,0.800,0.867,1.000,0.867,,
1855,0.333,0.0667,1.27,0.800,,,,,,,0.867,0.933,0.867,0.867,0.800,1.000,,
1860,0.267,0.0667,1.27,0.867,,,,,,,0.867,0.867,0.933,0.867,0.867,0.933,,
1865,0.333,0.133,1.20,0.800,,,,,,,0.867,0.867,0.933,0.933,0.800,0.933,,
1870,0.333,0.467,1.33,0.867,,,,,,,1.07,0.800,0.867,1.07,1.00,1.000,,
