Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
475,12.6 K,12.4 K,12.4 K,,,,,,,12.6 K,12.4 K,12.4 K,12.6 K,12.5 K,12.6 K,,
480,13.0 K,12.8 K,12.8 K,,,,,,,12.9 K,12.8 K,12.7 K,12.9 K,12.9 K,13.0 K,,
485,13.4 K,13.1 K,13.1 K,,,,,,,13.3 K,13.2 K,13.1 K,13.3 K,13.3 K,13.4 K,,
490,13.7 K,13.5 K,13.5 K,,,,,,,13.7 K,13.6 K,13.5 K,13.7 K,13.6 K,13.7 K,,
495,14.1 K,13.9 K,13.9 K,,,,,,,14.0 K,13.9 K,13.8 K,14.0 K,14.0 K,14.1 K,,
500,14.5 K,14.3 K,14.2 K,,,,,,,14.4 K,14.3 K,14.2 K,14.4 K,14.4 K,14.5 K,,
505,14.9 K,14.6 K,14.6 K,,,,,,,14.8 K,14.7 K,14.6 K,14.8 K,14.7 K,14.9 K,,
510,15.2 K,15.0 K,15.0 K,,,,,,,15.2 K,15.0 K,15.0 K,15.2 K,15.1 K,15.2 K,,
515,15.6 K,15.4 K,15.3 K,,,,,,,15.5 K,15.4 K,15.3 K,15.5 K,15.5 K,15.6 K,,
520,16.0 K,15.8 K,15.7 K,,,,,,,15.9 K,15.8 K,15.7 K,15.9 K,15.8 K,16.0 K,,
525,16.3 K,16.1 K,16.1 K,,,,,,,16.3 K,16.1 K,16.1 K,16.3 K,16.2 K,16.3 K,,
530,16.7 K,16.5 K,16.5 K,,,,,,,16.6 K,16.5 K,16.4 K,16.6 K,16.6 K,16.7 K,,
535,17.1 K,16.8 K,16.8 K,,,,,,,17.0 K,16.9 K,16.8 K,17.0 K,17.0 K,17.1 K,,
540,17.4 K,17.2 K,17.2 K,,,,,,,17.4 K,17.3 K,17.2 K,17.4 K,17.3 K,17.4 K,,
545,17.8 K,17.6 K,17.6 K,,,,,,,17.7 K,17.6 K,17.5 K,17.7 K,17.7 K,17.8 K,,
550,18.2 K,17.9 K,17.9 K,,,,,,,18.1 K,18.0 K,17.9 K,18.1 K,18.1 K,18.2 K,,
555,18.5 K,18.3 K,18.3 K,,,,,,,18.5 K,18.3 K,18.3 K,18.5 K,18.4 K,18.5 K,,
560,18.9 K,18.7 K,18.7 K,,,,,,,18.8 K,18.7 K,18.6 K,18.8 K,18.8 K,18.9 K,,
565,19.3 K,19.0 K,19.0 K,,,,,,,19.2 K,19.1 K,19.0 K,19.2 K,19.1 K,19.3 K,,
